                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4623,                 3.5112,                 1.6835,                0.28659,                0.25101,                0.18428,                 0.0864,                 1.5865,                 3.3159,                 1.8411,                0.07019,              0.0033122,              0.0033122
                      1,                 1.4855,                 2.7363,                 1.6586,                0.28892,                0.32455,                0.22735,                0.09934,                 1.7797,                  3.013,                 2.0591,               0.040058,               0.006514,               0.006514
                      2,                 1.5655,                 2.5449,                 1.7182,                0.30397,                0.31526,                0.23459,                0.08992,                 2.0723,                 3.1075,                 2.3233,              0.0097947,              0.0095837,              0.0095837
                      3,                 1.6709,                 2.5626,                 1.8319,                0.29703,                0.23776,                 0.1941,                0.08385,                 2.1972,                 3.4819,                 2.6923,               0.009406,               0.009406,               0.009406
                      4,                 1.6709,                 2.4432,                 1.8222,                0.34327,                 0.3118,                  0.267,                0.11585,                 2.0601,                 2.9826,                 2.5647,               0.009406,               0.009406,               0.009406
                      5,                 1.6357,                 2.3181,                  1.795,                0.35432,                0.37419,                0.31764,                 0.1495,                 1.8167,                 2.5295,                 2.2127,               0.009208,               0.009208,               0.009208
                      6,                 1.6015,                   2.23,                 1.7812,                0.51321,                0.37425,                0.41854,                0.19878,                 1.8055,                 2.1792,                 2.1291,                0.00901,                0.00901,                0.00901
                      7,                 1.5607,                 2.1295,                 1.7585,                0.46717,                0.44214,                0.41716,                0.19986,                  1.821,                 2.1466,                 2.1498,               0.008812,               0.008812,               0.008812
                      8,                  1.521,                 2.0448,                 1.7271,                0.46961,                0.43254,                0.43763,                0.21168,                   1.74,                  2.172,                  2.088,               0.008614,               0.008614,               0.008614
                      9,                 1.5097,                 2.0038,                 1.7127,                0.53808,                0.49266,                0.50623,                0.26044,                 1.7259,                 1.9902,                 1.9972,               0.008416,               0.008416,               0.008416
                     10,                 1.4727,                 1.9145,                 1.6794,                0.60403,                0.47303,                0.51726,                0.27084,                 1.6699,                 1.9314,                  1.968,               0.008218,               0.008218,               0.008218
                     11,                 1.4752,                 1.9075,                 1.6785,                0.64974,                0.52407,                0.57368,                0.30295,                 1.6474,                 1.8895,                 1.9281,                0.00802,                0.00802,                0.00802
                     12,                 1.4514,                 1.8435,                 1.6552,                0.58488,                0.51897,                0.54338,                0.29027,                 1.6632,                 1.8725,                 1.9291,               0.007822,               0.007822,               0.007822
                     13,                 1.4354,                 1.7995,                 1.6361,                0.57526,                0.54625,                0.56514,                0.30514,                 1.6103,                 1.9548,                 1.8663,               0.007624,               0.007624,               0.007624
                     14,                 1.4097,                 1.7466,                  1.614,                 0.7509,                0.48849,                0.59814,                0.32253,                 1.6077,                 1.7604,                 1.8727,               0.007426,               0.007426,               0.007426
                     15,                 1.3726,                 1.6926,                 1.5886,                0.60647,                0.50823,                0.55269,                0.28741,                  1.605,                  1.809,                 1.8692,               0.007228,               0.007228,               0.007228
                     16,                 1.3574,                 1.6547,                 1.5812,                0.74523,                 0.5509,                0.63242,                0.35076,                 1.5977,                 1.7474,                 1.8528,                0.00703,                0.00703,                0.00703
                     17,                 1.3626,                 1.6562,                 1.5762,                0.76055,                0.53379,                0.64726,                0.36177,                 1.6122,                 1.6231,                 1.8789,               0.006832,               0.006832,               0.006832
                     18,                  1.348,                 1.5923,                 1.5682,                0.77736,                0.54004,                 0.6541,                0.35439,                 1.6273,                   1.65,                 1.8796,               0.006634,               0.006634,               0.006634
                     19,                  1.343,                 1.6047,                 1.5685,                 0.6805,                0.60521,                0.64674,                0.35746,                 1.5542,                 1.6668,                 1.7985,               0.006436,               0.006436,               0.006436
                     20,                  1.324,                 1.5369,                 1.5503,                0.74307,                0.62479,                0.70338,                0.39803,                 1.5608,                   1.49,                 1.7961,               0.006238,               0.006238,               0.006238
                     21,                 1.2916,                 1.4703,                  1.519,                 0.7473,                0.60604,                0.69469,                0.39275,                 1.5432,                 1.5101,                  1.797,                0.00604,                0.00604,                0.00604
                     22,                 1.3008,                 1.4773,                 1.5269,                0.74096,                0.59903,                 0.7105,                0.40489,                 1.4955,                 1.4701,                 1.7515,               0.005842,               0.005842,               0.005842
                     23,                 1.2999,                 1.4413,                 1.5111,                0.75692,                0.63151,                0.72413,                0.42324,                 1.4612,                 1.4506,                 1.7323,               0.005644,               0.005644,               0.005644
                     24,                 1.2744,                 1.4512,                  1.503,                0.79502,                 0.6365,                0.73896,                  0.436,                 1.4915,                 1.3836,                 1.7208,               0.005446,               0.005446,               0.005446
                     25,                 1.2574,                 1.4287,                 1.4997,                0.72168,                0.66384,                0.72683,                0.41356,                 1.4718,                  1.421,                 1.7151,               0.005248,               0.005248,               0.005248
                     26,                 1.2406,                 1.3756,                 1.4816,                0.74707,                  0.656,                0.73325,                0.42339,                 1.4882,                  1.397,                 1.7348,                0.00505,                0.00505,                0.00505
                     27,                  1.213,                 1.3524,                 1.4655,                0.73797,                0.68017,                 0.7498,                0.44776,                 1.4418,                  1.354,                 1.6778,               0.004852,               0.004852,               0.004852
                     28,                 1.2156,                 1.3634,                 1.4718,                 0.7616,                0.67949,                0.75463,                0.45823,                  1.404,                 1.3238,                 1.6541,               0.004654,               0.004654,               0.004654
                     29,                 1.2155,                 1.3043,                 1.4561,                0.76686,                0.69018,                0.74955,                0.44102,                 1.4725,                 1.3722,                 1.7077,               0.004456,               0.004456,               0.004456
                     30,                 1.1988,                 1.2711,                 1.4413,                0.78456,                 0.6532,                0.76305,                0.45927,                 1.4374,                  1.361,                 1.7169,               0.004258,               0.004258,               0.004258
                     31,                 1.1971,                 1.2909,                 1.4434,                0.76915,                0.72603,                0.78159,                0.47333,                 1.4105,                 1.3232,                 1.6473,                0.00406,                0.00406,                0.00406
